,N,Method,$\hat{\mathbb{P}}$
0,10.0,SAO-ScenarioApproxWithO,0.89729
1,60.0,SAO-ScenarioApproxWithO,0.95964
2,110.0,SAO-ScenarioApproxWithO,0.96844
3,160.0,SAO-ScenarioApproxWithO,0.98821
4,210.0,SAO-ScenarioApproxWithO,0.99274
5,260.0,SAO-ScenarioApproxWithO,0.98878
6,10.0,SAO-ScenarioApproxWithO,0.92215
7,60.0,SAO-ScenarioApproxWithO,0.94994
8,110.0,SAO-ScenarioApproxWithO,0.96729
9,160.0,SAO-ScenarioApproxWithO,0.97419
10,210.0,SAO-ScenarioApproxWithO,0.98178
11,260.0,SAO-ScenarioApproxWithO,0.99054
12,10.0,SAO-ScenarioApproxWithO,0.9196
13,60.0,SAO-ScenarioApproxWithO,0.97165
14,110.0,SAO-ScenarioApproxWithO,0.94646
15,160.0,SAO-ScenarioApproxWithO,0.97933
16,210.0,SAO-ScenarioApproxWithO,0.98713
17,260.0,SAO-ScenarioApproxWithO,0.9852
18,10.0,SAO-ScenarioApproxWithO,0.89039
19,60.0,SAO-ScenarioApproxWithO,0.97676
20,110.0,SAO-ScenarioApproxWithO,0.97908
21,160.0,SAO-ScenarioApproxWithO,0.97674
22,210.0,SAO-ScenarioApproxWithO,0.98592
23,260.0,SAO-ScenarioApproxWithO,0.99238
24,10.0,SAO-ScenarioApproxWithO,0.90199
25,60.0,SAO-ScenarioApproxWithO,0.98115
26,110.0,SAO-ScenarioApproxWithO,0.95851
27,160.0,SAO-ScenarioApproxWithO,0.98737
28,210.0,SAO-ScenarioApproxWithO,0.98339
29,260.0,SAO-ScenarioApproxWithO,0.99139
30,10.0,SAO-ScenarioApproxWithO,0.90443
31,60.0,SAO-ScenarioApproxWithO,0.94329
32,110.0,SAO-ScenarioApproxWithO,0.97654
33,160.0,SAO-ScenarioApproxWithO,0.98237
34,210.0,SAO-ScenarioApproxWithO,0.99328
35,260.0,SAO-ScenarioApproxWithO,0.98264
36,10.0,SAO-ScenarioApproxWithO,0.93821
37,60.0,SAO-ScenarioApproxWithO,0.96814
38,110.0,SAO-ScenarioApproxWithO,0.97228
39,160.0,SAO-ScenarioApproxWithO,0.98668
40,210.0,SAO-ScenarioApproxWithO,0.96608
41,260.0,SAO-ScenarioApproxWithO,0.98551
42,10.0,SAO-ScenarioApproxWithO,0.91879
