,N,Method,$\hat{\mathbb{P}}$
0,1200.0,SAO-ScenarioApproxWithO,0.96531
1,1800.0,SAO-ScenarioApproxWithO,0.97721
2,2400.0,SAO-ScenarioApproxWithO,0.98581
3,3000.0,SAO-ScenarioApproxWithO,0.98341
4,3600.0,SAO-ScenarioApproxWithO,0.98752
5,4200.0,SAO-ScenarioApproxWithO,0.98842
6,4800.0,SAO-ScenarioApproxWithO,0.99044
7,5400.0,SAO-ScenarioApproxWithO,0.99235
8,6000.0,SAO-ScenarioApproxWithO,0.99235
9,6600.0,SAO-ScenarioApproxWithO,0.99197
10,7200.0,SAO-ScenarioApproxWithO,0.99425
11,7800.0,SAO-ScenarioApproxWithO,0.9932
12,1200.0,SAO-ScenarioApproxWithO,0.96303
13,1800.0,SAO-ScenarioApproxWithO,0.97739
14,2400.0,SAO-ScenarioApproxWithO,0.98456
15,3000.0,SAO-ScenarioApproxWithO,0.98419
16,3600.0,SAO-ScenarioApproxWithO,0.98825
17,4200.0,SAO-ScenarioApproxWithO,0.98761
18,4800.0,SAO-ScenarioApproxWithO,0.99168
19,5400.0,SAO-ScenarioApproxWithO,0.99065
20,6000.0,SAO-ScenarioApproxWithO,0.99104
21,6600.0,SAO-ScenarioApproxWithO,0.99302
22,7200.0,SAO-ScenarioApproxWithO,0.99291
23,7800.0,SAO-ScenarioApproxWithO,0.9934
24,1200.0,SAO-ScenarioApproxWithO,0.96203
25,1800.0,SAO-ScenarioApproxWithO,0.97529
26,2400.0,SAO-ScenarioApproxWithO,0.97965
27,3000.0,SAO-ScenarioApproxWithO,0.98801
28,3600.0,SAO-ScenarioApproxWithO,0.98737
29,4200.0,SAO-ScenarioApproxWithO,0.98908
30,4800.0,SAO-ScenarioApproxWithO,0.99188
31,5400.0,SAO-ScenarioApproxWithO,0.99255
32,6000.0,SAO-ScenarioApproxWithO,0.99293
33,6600.0,SAO-ScenarioApproxWithO,0.9925
34,7200.0,SAO-ScenarioApproxWithO,0.99312
35,7800.0,SAO-ScenarioApproxWithO,0.99534
36,1200.0,SAO-ScenarioApproxWithO,0.96722
37,1800.0,SAO-ScenarioApproxWithO,0.97958
38,2400.0,SAO-ScenarioApproxWithO,0.9812
39,3000.0,SAO-ScenarioApproxWithO,0.98402
