,N,Method,$\hat{\mathbb{P}}$
40,3600.0,SAO-ScenarioApproxWithO,0.98689
41,4200.0,SAO-ScenarioApproxWithO,0.98845
42,4800.0,SAO-ScenarioApproxWithO,0.99094
43,5400.0,SAO-ScenarioApproxWithO,0.99091
44,6000.0,SAO-ScenarioApproxWithO,0.9923
45,6600.0,SAO-ScenarioApproxWithO,0.99344
46,7200.0,SAO-ScenarioApproxWithO,0.99391
47,7800.0,SAO-ScenarioApproxWithO,0.99388
48,1200.0,SAO-ScenarioApproxWithO,0.9724
49,1800.0,SAO-ScenarioApproxWithO,0.96667
50,2400.0,SAO-ScenarioApproxWithO,0.97853
51,3000.0,SAO-ScenarioApproxWithO,0.9852
52,3600.0,SAO-ScenarioApproxWithO,0.9891
53,4200.0,SAO-ScenarioApproxWithO,0.98839
54,4800.0,SAO-ScenarioApproxWithO,0.99057
55,5400.0,SAO-ScenarioApproxWithO,0.99175
56,6000.0,SAO-ScenarioApproxWithO,0.99403
57,6600.0,SAO-ScenarioApproxWithO,0.99264
58,7200.0,SAO-ScenarioApproxWithO,0.99423
59,7800.0,SAO-ScenarioApproxWithO,0.99488
60,1200.0,SAO-ScenarioApproxWithO,0.96612
61,1800.0,SAO-ScenarioApproxWithO,0.97652
62,2400.0,SAO-ScenarioApproxWithO,0.98408
63,3000.0,SAO-ScenarioApproxWithO,0.98278
64,3600.0,SAO-ScenarioApproxWithO,0.98872
65,4200.0,SAO-ScenarioApproxWithO,0.98831
66,4800.0,SAO-ScenarioApproxWithO,0.99127
67,5400.0,SAO-ScenarioApproxWithO,0.9922
68,6000.0,SAO-ScenarioApproxWithO,0.99342
69,6600.0,SAO-ScenarioApproxWithO,0.99334
70,7200.0,SAO-ScenarioApproxWithO,0.99504
71,7800.0,SAO-ScenarioApproxWithO,0.99467
72,1200.0,SAO-ScenarioApproxWithO,0.96303
73,1800.0,SAO-ScenarioApproxWithO,0.9775
74,2400.0,SAO-ScenarioApproxWithO,0.98286
75,3000.0,SAO-ScenarioApproxWithO,0.98538
76,3600.0,SAO-ScenarioApproxWithO,0.98721
77,4200.0,SAO-ScenarioApproxWithO,0.99181
78,4800.0,SAO-ScenarioApproxWithO,0.98927
79,5400.0,SAO-ScenarioApproxWithO,0.99402
80,6000.0,SAO-ScenarioApproxWithO,0.99375
81,6600.0,SAO-ScenarioApproxWithO,0.9936
82,7200.0,SAO-ScenarioApproxWithO,0.99224
83,7800.0,SAO-ScenarioApproxWithO,0.99532
84,1200.0,SAO-ScenarioApproxWithO,0.96411
85,1800.0,SAO-ScenarioApproxWithO,0.97457
86,2400.0,SAO-ScenarioApproxWithO,0.98104
87,3000.0,SAO-ScenarioApproxWithO,0.98288
88,3600.0,SAO-ScenarioApproxWithO,0.98953
89,4200.0,SAO-ScenarioApproxWithO,0.98984
90,4800.0,SAO-ScenarioApproxWithO,0.988
91,5400.0,SAO-ScenarioApproxWithO,0.98981
92,6000.0,SAO-ScenarioApproxWithO,0.99132
93,6600.0,SAO-ScenarioApproxWithO,0.99236
94,7200.0,SAO-ScenarioApproxWithO,0.99508
95,7800.0,SAO-ScenarioApproxWithO,0.99464
96,1200.0,SAO-ScenarioApproxWithO,0.96136
97,1800.0,SAO-ScenarioApproxWithO,0.97003
98,2400.0,SAO-ScenarioApproxWithO,0.97567
99,3000.0,SAO-ScenarioApproxWithO,0.98648
100,3600.0,SAO-ScenarioApproxWithO,0.98945
101,4200.0,SAO-ScenarioApproxWithO,0.99055
102,4800.0,SAO-ScenarioApproxWithO,0.9909
103,5400.0,SAO-ScenarioApproxWithO,0.99282
104,6000.0,SAO-ScenarioApproxWithO,0.99093
105,6600.0,SAO-ScenarioApproxWithO,0.99326
106,7200.0,SAO-ScenarioApproxWithO,0.9935
107,7800.0,SAO-ScenarioApproxWithO,0.99434
108,1200.0,SAO-ScenarioApproxWithO,0.9662
109,1800.0,SAO-ScenarioApproxWithO,0.98002
110,2400.0,SAO-ScenarioApproxWithO,0.98152
111,3000.0,SAO-ScenarioApproxWithO,0.98864
112,3600.0,SAO-ScenarioApproxWithO,0.98861
113,4200.0,SAO-ScenarioApproxWithO,0.99087
114,4800.0,SAO-ScenarioApproxWithO,0.9891
115,5400.0,SAO-ScenarioApproxWithO,0.99255
116,6000.0,SAO-ScenarioApproxWithO,0.99308
117,6600.0,SAO-ScenarioApproxWithO,0.9945
118,7200.0,SAO-ScenarioApproxWithO,0.99425
119,7800.0,SAO-ScenarioApproxWithO,0.99567
120,1200.0,SAO-ScenarioApproxWithO,0.96647
121,1800.0,SAO-ScenarioApproxWithO,0.97429
122,2400.0,SAO-ScenarioApproxWithO,0.98238
123,3000.0,SAO-ScenarioApproxWithO,0.98534
124,3600.0,SAO-ScenarioApproxWithO,0.98678
125,4200.0,SAO-ScenarioApproxWithO,0.98879
126,4800.0,SAO-ScenarioApproxWithO,0.99039
127,5400.0,SAO-ScenarioApproxWithO,0.99098
128,6000.0,SAO-ScenarioApproxWithO,0.99161
129,6600.0,SAO-ScenarioApproxWithO,0.99282
130,7200.0,SAO-ScenarioApproxWithO,0.99397
131,7800.0,SAO-ScenarioApproxWithO,0.99324
132,1200.0,SAO-ScenarioApproxWithO,0.96305
133,1800.0,SAO-ScenarioApproxWithO,0.97568
134,2400.0,SAO-ScenarioApproxWithO,0.98165
135,3000.0,SAO-ScenarioApproxWithO,0.98592
136,3600.0,SAO-ScenarioApproxWithO,0.98824
137,4200.0,SAO-ScenarioApproxWithO,0.99097
138,4800.0,SAO-ScenarioApproxWithO,0.99011
139,5400.0,SAO-ScenarioApproxWithO,0.99094
140,6000.0,SAO-ScenarioApproxWithO,0.99338
141,6600.0,SAO-ScenarioApproxWithO,0.9924
142,7200.0,SAO-ScenarioApproxWithO,0.99253
143,7800.0,SAO-ScenarioApproxWithO,0.99414
144,1200.0,SAO-ScenarioApproxWithO,0.95609
145,1800.0,SAO-ScenarioApproxWithO,0.97702
146,2400.0,SAO-ScenarioApproxWithO,0.98169
147,3000.0,SAO-ScenarioApproxWithO,0.98477
148,3600.0,SAO-ScenarioApproxWithO,0.98936
149,4200.0,SAO-ScenarioApproxWithO,0.99006
150,4800.0,SAO-ScenarioApproxWithO,0.99144
151,5400.0,SAO-ScenarioApproxWithO,0.99242
152,6000.0,SAO-ScenarioApproxWithO,0.99371
153,6600.0,SAO-ScenarioApproxWithO,0.99328
154,7200.0,SAO-ScenarioApproxWithO,0.99474
155,7800.0,SAO-ScenarioApproxWithO,0.99465
156,1200.0,SAO-ScenarioApproxWithO,0.95708
157,1800.0,SAO-ScenarioApproxWithO,0.97923
158,2400.0,SAO-ScenarioApproxWithO,0.98062
159,3000.0,SAO-ScenarioApproxWithO,0.98508
160,3600.0,SAO-ScenarioApproxWithO,0.98955
161,4200.0,SAO-ScenarioApproxWithO,0.99138
162,4800.0,SAO-ScenarioApproxWithO,0.99246
163,5400.0,SAO-ScenarioApproxWithO,0.99201
164,6000.0,SAO-ScenarioApproxWithO,0.99418
165,6600.0,SAO-ScenarioApproxWithO,0.99387
166,7200.0,SAO-ScenarioApproxWithO,0.99219
167,7800.0,SAO-ScenarioApproxWithO,0.99489
168,1200.0,SAO-ScenarioApproxWithO,0.96365
169,1800.0,SAO-ScenarioApproxWithO,0.97152
170,2400.0,SAO-ScenarioApproxWithO,0.98047
171,3000.0,SAO-ScenarioApproxWithO,0.98835
172,3600.0,SAO-ScenarioApproxWithO,0.98873
173,4200.0,SAO-ScenarioApproxWithO,0.9897
174,4800.0,SAO-ScenarioApproxWithO,0.99
175,5400.0,SAO-ScenarioApproxWithO,0.99344
176,6000.0,SAO-ScenarioApproxWithO,0.99418
177,6600.0,SAO-ScenarioApproxWithO,0.99237
178,7200.0,SAO-ScenarioApproxWithO,0.99257
179,7800.0,SAO-ScenarioApproxWithO,0.99496
180,1200.0,SAO-ScenarioApproxWithO,0.96231
181,1800.0,SAO-ScenarioApproxWithO,0.97523
182,2400.0,SAO-ScenarioApproxWithO,0.97801
183,3000.0,SAO-ScenarioApproxWithO,0.98592
184,3600.0,SAO-ScenarioApproxWithO,0.9892
185,4200.0,SAO-ScenarioApproxWithO,0.98476
186,4800.0,SAO-ScenarioApproxWithO,0.99053
187,5400.0,SAO-ScenarioApproxWithO,0.99251
188,6000.0,SAO-ScenarioApproxWithO,0.99357
189,6600.0,SAO-ScenarioApproxWithO,0.9946
190,7200.0,SAO-ScenarioApproxWithO,0.99321
191,7800.0,SAO-ScenarioApproxWithO,0.99335
192,1200.0,SAO-ScenarioApproxWithO,0.96396
193,1800.0,SAO-ScenarioApproxWithO,0.97032
194,2400.0,SAO-ScenarioApproxWithO,0.98156
195,3000.0,SAO-ScenarioApproxWithO,0.98633
196,3600.0,SAO-ScenarioApproxWithO,0.98807
197,4200.0,SAO-ScenarioApproxWithO,0.98895
198,4800.0,SAO-ScenarioApproxWithO,0.99137
199,5400.0,SAO-ScenarioApproxWithO,0.99197
200,6000.0,SAO-ScenarioApproxWithO,0.99257
201,6600.0,SAO-ScenarioApproxWithO,0.99322
202,7200.0,SAO-ScenarioApproxWithO,0.99516
203,7800.0,SAO-ScenarioApproxWithO,0.99511
204,1200.0,SAO-ScenarioApproxWithO,0.96536
205,1800.0,SAO-ScenarioApproxWithO,0.98077
206,2400.0,SAO-ScenarioApproxWithO,0.98186
207,3000.0,SAO-ScenarioApproxWithO,0.98665
208,3600.0,SAO-ScenarioApproxWithO,0.98945
209,4200.0,SAO-ScenarioApproxWithO,0.98956
210,4800.0,SAO-ScenarioApproxWithO,0.99187
211,5400.0,SAO-ScenarioApproxWithO,0.9918
212,6000.0,SAO-ScenarioApproxWithO,0.99256
213,6600.0,SAO-ScenarioApproxWithO,0.99404
214,7200.0,SAO-ScenarioApproxWithO,0.99368
215,7800.0,SAO-ScenarioApproxWithO,0.99438
216,1200.0,SAO-ScenarioApproxWithO,0.95651
217,1800.0,SAO-ScenarioApproxWithO,0.97937
218,2400.0,SAO-ScenarioApproxWithO,0.9823
219,3000.0,SAO-ScenarioApproxWithO,0.98419
220,3600.0,SAO-ScenarioApproxWithO,0.99082
221,4200.0,SAO-ScenarioApproxWithO,0.992
222,4800.0,SAO-ScenarioApproxWithO,0.99201
223,5400.0,SAO-ScenarioApproxWithO,0.99288
224,6000.0,SAO-ScenarioApproxWithO,0.99329
225,6600.0,SAO-ScenarioApproxWithO,0.99238
226,7200.0,SAO-ScenarioApproxWithO,0.99478
227,7800.0,SAO-ScenarioApproxWithO,0.99437
228,1200.0,SAO-ScenarioApproxWithO,0.96702
229,1800.0,SAO-ScenarioApproxWithO,0.98139
230,2400.0,SAO-ScenarioApproxWithO,0.98285
231,3000.0,SAO-ScenarioApproxWithO,0.98467
232,3600.0,SAO-ScenarioApproxWithO,0.98921
233,4200.0,SAO-ScenarioApproxWithO,0.98985
234,4800.0,SAO-ScenarioApproxWithO,0.99285
235,5400.0,SAO-ScenarioApproxWithO,0.9921
236,6000.0,SAO-ScenarioApproxWithO,0.99321
237,6600.0,SAO-ScenarioApproxWithO,0.99233
238,7200.0,SAO-ScenarioApproxWithO,0.99379
239,7800.0,SAO-ScenarioApproxWithO,0.99424
240,1200.0,SAO-ScenarioApproxWithO,0.96693
241,1800.0,SAO-ScenarioApproxWithO,0.9754
242,2400.0,SAO-ScenarioApproxWithO,0.98258
243,3000.0,SAO-ScenarioApproxWithO,0.98501
244,3600.0,SAO-ScenarioApproxWithO,0.98782
245,4200.0,SAO-ScenarioApproxWithO,0.9898
246,4800.0,SAO-ScenarioApproxWithO,0.99033
247,5400.0,SAO-ScenarioApproxWithO,0.99232
248,6000.0,SAO-ScenarioApproxWithO,0.99211
249,6600.0,SAO-ScenarioApproxWithO,0.99349
250,7200.0,SAO-ScenarioApproxWithO,0.99444
251,7800.0,SAO-ScenarioApproxWithO,0.99439
252,1200.0,SAO-ScenarioApproxWithO,0.96356
253,1800.0,SAO-ScenarioApproxWithO,0.97505
254,2400.0,SAO-ScenarioApproxWithO,0.97988
255,3000.0,SAO-ScenarioApproxWithO,0.98569
256,3600.0,SAO-ScenarioApproxWithO,0.98841
257,4200.0,SAO-ScenarioApproxWithO,0.99007
258,4800.0,SAO-ScenarioApproxWithO,0.9924
259,5400.0,SAO-ScenarioApproxWithO,0.99317
260,6000.0,SAO-ScenarioApproxWithO,0.99175
261,6600.0,SAO-ScenarioApproxWithO,0.99321
262,7200.0,SAO-ScenarioApproxWithO,0.9944
263,7800.0,SAO-ScenarioApproxWithO,0.99412
264,1200.0,SAO-ScenarioApproxWithO,0.9702
265,1800.0,SAO-ScenarioApproxWithO,0.97501
266,2400.0,SAO-ScenarioApproxWithO,0.98373
267,3000.0,SAO-ScenarioApproxWithO,0.98404
268,3600.0,SAO-ScenarioApproxWithO,0.98628
269,4200.0,SAO-ScenarioApproxWithO,0.98972
270,4800.0,SAO-ScenarioApproxWithO,0.99009
271,5400.0,SAO-ScenarioApproxWithO,0.99426
272,6000.0,SAO-ScenarioApproxWithO,0.9927
273,6600.0,SAO-ScenarioApproxWithO,0.99511
274,7200.0,SAO-ScenarioApproxWithO,0.99525
275,7800.0,SAO-ScenarioApproxWithO,0.99569
276,1200.0,SAO-ScenarioApproxWithO,0.96231
277,1800.0,SAO-ScenarioApproxWithO,0.97351
278,2400.0,SAO-ScenarioApproxWithO,0.97845
279,3000.0,SAO-ScenarioApproxWithO,0.98674
280,3600.0,SAO-ScenarioApproxWithO,0.98978
281,4200.0,SAO-ScenarioApproxWithO,0.98934
282,4800.0,SAO-ScenarioApproxWithO,0.99194
283,5400.0,SAO-ScenarioApproxWithO,0.9923
284,6000.0,SAO-ScenarioApproxWithO,0.99244
285,6600.0,SAO-ScenarioApproxWithO,0.99485
286,7200.0,SAO-ScenarioApproxWithO,0.99221
287,7800.0,SAO-ScenarioApproxWithO,0.99405
288,1200.0,SAO-ScenarioApproxWithO,0.97077
289,1800.0,SAO-ScenarioApproxWithO,0.97589
290,2400.0,SAO-ScenarioApproxWithO,0.97967
291,3000.0,SAO-ScenarioApproxWithO,0.98578
292,3600.0,SAO-ScenarioApproxWithO,0.9904
293,4200.0,SAO-ScenarioApproxWithO,0.98961
294,4800.0,SAO-ScenarioApproxWithO,0.98872
295,5400.0,SAO-ScenarioApproxWithO,0.99016
296,6000.0,SAO-ScenarioApproxWithO,0.992
297,6600.0,SAO-ScenarioApproxWithO,0.99365
298,7200.0,SAO-ScenarioApproxWithO,0.99327
299,7800.0,SAO-ScenarioApproxWithO,0.995
300,1200.0,SAO-ScenarioApproxWithO,0.96813
301,1800.0,SAO-ScenarioApproxWithO,0.97763
302,2400.0,SAO-ScenarioApproxWithO,0.97784
303,3000.0,SAO-ScenarioApproxWithO,0.98445
304,3600.0,SAO-ScenarioApproxWithO,0.98827
305,4200.0,SAO-ScenarioApproxWithO,0.98961
306,4800.0,SAO-ScenarioApproxWithO,0.99175
307,5400.0,SAO-ScenarioApproxWithO,0.99181
308,6000.0,SAO-ScenarioApproxWithO,0.99207
309,6600.0,SAO-ScenarioApproxWithO,0.99378
310,7200.0,SAO-ScenarioApproxWithO,0.99313
311,7800.0,SAO-ScenarioApproxWithO,0.99398
312,1200.0,SAO-ScenarioApproxWithO,0.96881
313,1800.0,SAO-ScenarioApproxWithO,0.97393
314,2400.0,SAO-ScenarioApproxWithO,0.98224
315,3000.0,SAO-ScenarioApproxWithO,0.98793
316,3600.0,SAO-ScenarioApproxWithO,0.98806
317,4200.0,SAO-ScenarioApproxWithO,0.98982
318,4800.0,SAO-ScenarioApproxWithO,0.99243
319,5400.0,SAO-ScenarioApproxWithO,0.99096
320,6000.0,SAO-ScenarioApproxWithO,0.99356
321,6600.0,SAO-ScenarioApproxWithO,0.99278
322,7200.0,SAO-ScenarioApproxWithO,0.99376
323,7800.0,SAO-ScenarioApproxWithO,0.99431
324,1200.0,SAO-ScenarioApproxWithO,0.96392
325,1800.0,SAO-ScenarioApproxWithO,0.97689
326,2400.0,SAO-ScenarioApproxWithO,0.98276
327,3000.0,SAO-ScenarioApproxWithO,0.98479
328,3600.0,SAO-ScenarioApproxWithO,0.98625
329,4200.0,SAO-ScenarioApproxWithO,0.98937
330,4800.0,SAO-ScenarioApproxWithO,0.98963
331,5400.0,SAO-ScenarioApproxWithO,0.99323
332,6000.0,SAO-ScenarioApproxWithO,0.99099
333,6600.0,SAO-ScenarioApproxWithO,0.99373
334,7200.0,SAO-ScenarioApproxWithO,0.99497
335,7800.0,SAO-ScenarioApproxWithO,0.99425
336,1200.0,SAO-ScenarioApproxWithO,0.96549
337,1800.0,SAO-ScenarioApproxWithO,0.97639
338,2400.0,SAO-ScenarioApproxWithO,0.9835
339,3000.0,SAO-ScenarioApproxWithO,0.98595
340,3600.0,SAO-ScenarioApproxWithO,0.9904
341,4200.0,SAO-ScenarioApproxWithO,0.99081
342,4800.0,SAO-ScenarioApproxWithO,0.99021
343,5400.0,SAO-ScenarioApproxWithO,0.99094
344,6000.0,SAO-ScenarioApproxWithO,0.99333
345,6600.0,SAO-ScenarioApproxWithO,0.99235
346,7200.0,SAO-ScenarioApproxWithO,0.99303
347,7800.0,SAO-ScenarioApproxWithO,0.99645
348,1200.0,SAO-ScenarioApproxWithO,0.96464
349,1800.0,SAO-ScenarioApproxWithO,0.97602
350,2400.0,SAO-ScenarioApproxWithO,0.98287
351,3000.0,SAO-ScenarioApproxWithO,0.98471
352,3600.0,SAO-ScenarioApproxWithO,0.99051
353,4200.0,SAO-ScenarioApproxWithO,0.98853
354,4800.0,SAO-ScenarioApproxWithO,0.99037
355,5400.0,SAO-ScenarioApproxWithO,0.99256
356,6000.0,SAO-ScenarioApproxWithO,0.99285
357,6600.0,SAO-ScenarioApproxWithO,0.99455
358,7200.0,SAO-ScenarioApproxWithO,0.99342
359,7800.0,SAO-ScenarioApproxWithO,0.9949
360,1200.0,SAO-ScenarioApproxWithO,0.96926
361,1800.0,SAO-ScenarioApproxWithO,0.97785
362,2400.0,SAO-ScenarioApproxWithO,0.98213
363,3000.0,SAO-ScenarioApproxWithO,0.98597
364,3600.0,SAO-ScenarioApproxWithO,0.98788
365,4200.0,SAO-ScenarioApproxWithO,0.99095
366,4800.0,SAO-ScenarioApproxWithO,0.99093
367,5400.0,SAO-ScenarioApproxWithO,0.99146
368,6000.0,SAO-ScenarioApproxWithO,0.99068
369,6600.0,SAO-ScenarioApproxWithO,0.9933
370,7200.0,SAO-ScenarioApproxWithO,0.99368
371,7800.0,SAO-ScenarioApproxWithO,0.99557
372,1200.0,SAO-ScenarioApproxWithO,0.97387
373,1800.0,SAO-ScenarioApproxWithO,0.98007
374,2400.0,SAO-ScenarioApproxWithO,0.98264
375,3000.0,SAO-ScenarioApproxWithO,0.98826
376,3600.0,SAO-ScenarioApproxWithO,0.98891
377,4200.0,SAO-ScenarioApproxWithO,0.99041
378,4800.0,SAO-ScenarioApproxWithO,0.99047
379,5400.0,SAO-ScenarioApproxWithO,0.9932
380,6000.0,SAO-ScenarioApproxWithO,0.99269
381,6600.0,SAO-ScenarioApproxWithO,0.99297
382,7200.0,SAO-ScenarioApproxWithO,0.994
383,7800.0,SAO-ScenarioApproxWithO,0.99401
384,1200.0,SAO-ScenarioApproxWithO,0.96648
385,1800.0,SAO-ScenarioApproxWithO,0.97635
386,2400.0,SAO-ScenarioApproxWithO,0.98312
387,3000.0,SAO-ScenarioApproxWithO,0.98545
388,3600.0,SAO-ScenarioApproxWithO,0.98816
389,4200.0,SAO-ScenarioApproxWithO,0.99146
390,4800.0,SAO-ScenarioApproxWithO,0.99123
391,5400.0,SAO-ScenarioApproxWithO,0.9924
392,6000.0,SAO-ScenarioApproxWithO,0.99316
393,6600.0,SAO-ScenarioApproxWithO,0.99433
394,7200.0,SAO-ScenarioApproxWithO,0.99489
395,7800.0,SAO-ScenarioApproxWithO,0.99389
396,1200.0,SAO-ScenarioApproxWithO,0.96335
397,1800.0,SAO-ScenarioApproxWithO,0.97995
398,2400.0,SAO-ScenarioApproxWithO,0.9823
399,3000.0,SAO-ScenarioApproxWithO,0.98625
400,3600.0,SAO-ScenarioApproxWithO,0.99013
401,4200.0,SAO-ScenarioApproxWithO,0.98869
402,4800.0,SAO-ScenarioApproxWithO,0.99361
403,5400.0,SAO-ScenarioApproxWithO,0.99045
404,6000.0,SAO-ScenarioApproxWithO,0.99307
405,6600.0,SAO-ScenarioApproxWithO,0.99228
406,7200.0,SAO-ScenarioApproxWithO,0.99547
407,7800.0,SAO-ScenarioApproxWithO,0.99456
408,1200.0,SAO-ScenarioApproxWithO,0.96002
409,1800.0,SAO-ScenarioApproxWithO,0.9767
410,2400.0,SAO-ScenarioApproxWithO,0.98364
411,3000.0,SAO-ScenarioApproxWithO,0.98668
412,3600.0,SAO-ScenarioApproxWithO,0.98857
413,4200.0,SAO-ScenarioApproxWithO,0.98956
414,4800.0,SAO-ScenarioApproxWithO,0.99284
415,5400.0,SAO-ScenarioApproxWithO,0.99284
416,6000.0,SAO-ScenarioApproxWithO,0.99235
417,6600.0,SAO-ScenarioApproxWithO,0.99404
418,7200.0,SAO-ScenarioApproxWithO,0.99479
419,7800.0,SAO-ScenarioApproxWithO,0.99208
420,1200.0,SAO-ScenarioApproxWithO,0.96366
421,1800.0,SAO-ScenarioApproxWithO,0.97752
422,2400.0,SAO-ScenarioApproxWithO,0.98223
423,3000.0,SAO-ScenarioApproxWithO,0.98682
424,3600.0,SAO-ScenarioApproxWithO,0.98676
425,4200.0,SAO-ScenarioApproxWithO,0.98886
426,4800.0,SAO-ScenarioApproxWithO,0.99152
427,5400.0,SAO-ScenarioApproxWithO,0.99122
428,6000.0,SAO-ScenarioApproxWithO,0.99198
429,6600.0,SAO-ScenarioApproxWithO,0.99319
430,7200.0,SAO-ScenarioApproxWithO,0.99087
431,7800.0,SAO-ScenarioApproxWithO,0.99342
432,1200.0,SAO-ScenarioApproxWithO,0.96491
433,1800.0,SAO-ScenarioApproxWithO,0.98139
434,2400.0,SAO-ScenarioApproxWithO,0.97754
435,3000.0,SAO-ScenarioApproxWithO,0.98578
436,3600.0,SAO-ScenarioApproxWithO,0.98814
437,4200.0,SAO-ScenarioApproxWithO,0.98489
438,4800.0,SAO-ScenarioApproxWithO,0.99042
439,5400.0,SAO-ScenarioApproxWithO,0.98994
440,6000.0,SAO-ScenarioApproxWithO,0.9922
441,6600.0,SAO-ScenarioApproxWithO,0.99225
442,7200.0,SAO-ScenarioApproxWithO,0.99446
443,7800.0,SAO-ScenarioApproxWithO,0.99383
444,1200.0,SAO-ScenarioApproxWithO,0.96696
445,1800.0,SAO-ScenarioApproxWithO,0.97663
446,2400.0,SAO-ScenarioApproxWithO,0.98393
447,3000.0,SAO-ScenarioApproxWithO,0.98334
448,3600.0,SAO-ScenarioApproxWithO,0.99028
449,4200.0,SAO-ScenarioApproxWithO,0.98942
450,4800.0,SAO-ScenarioApproxWithO,0.99082
451,5400.0,SAO-ScenarioApproxWithO,0.99171
452,6000.0,SAO-ScenarioApproxWithO,0.99051
453,6600.0,SAO-ScenarioApproxWithO,0.99404
454,7200.0,SAO-ScenarioApproxWithO,0.99377
455,7800.0,SAO-ScenarioApproxWithO,0.99505
456,1200.0,SAO-ScenarioApproxWithO,0.96372
457,1800.0,SAO-ScenarioApproxWithO,0.98063
458,2400.0,SAO-ScenarioApproxWithO,0.98334
459,3000.0,SAO-ScenarioApproxWithO,0.98503
460,3600.0,SAO-ScenarioApproxWithO,0.98861
461,4200.0,SAO-ScenarioApproxWithO,0.99095
462,4800.0,SAO-ScenarioApproxWithO,0.99084
463,5400.0,SAO-ScenarioApproxWithO,0.99293
464,6000.0,SAO-ScenarioApproxWithO,0.99325
465,6600.0,SAO-ScenarioApproxWithO,0.99296
466,7200.0,SAO-ScenarioApproxWithO,0.99381
467,7800.0,SAO-ScenarioApproxWithO,0.99435
468,1200.0,SAO-ScenarioApproxWithO,0.96053
469,1800.0,SAO-ScenarioApproxWithO,0.97763
470,2400.0,SAO-ScenarioApproxWithO,0.9823
471,3000.0,SAO-ScenarioApproxWithO,0.98339
472,3600.0,SAO-ScenarioApproxWithO,0.98794
473,4200.0,SAO-ScenarioApproxWithO,0.99004
474,4800.0,SAO-ScenarioApproxWithO,0.99236
475,5400.0,SAO-ScenarioApproxWithO,0.99155
476,6000.0,SAO-ScenarioApproxWithO,0.99201
477,6600.0,SAO-ScenarioApproxWithO,0.99218
478,7200.0,SAO-ScenarioApproxWithO,0.9938
479,7800.0,SAO-ScenarioApproxWithO,0.99524
480,1200.0,SAO-ScenarioApproxWithO,0.96321
481,1800.0,SAO-ScenarioApproxWithO,0.97809
482,2400.0,SAO-ScenarioApproxWithO,0.97787
483,3000.0,SAO-ScenarioApproxWithO,0.98821
484,3600.0,SAO-ScenarioApproxWithO,0.98699
485,4200.0,SAO-ScenarioApproxWithO,0.98772
486,4800.0,SAO-ScenarioApproxWithO,0.99169
487,5400.0,SAO-ScenarioApproxWithO,0.99014
488,6000.0,SAO-ScenarioApproxWithO,0.99253
489,6600.0,SAO-ScenarioApproxWithO,0.99387
490,7200.0,SAO-ScenarioApproxWithO,0.99202
491,7800.0,SAO-ScenarioApproxWithO,0.99446
492,1200.0,SAO-ScenarioApproxWithO,0.95775
493,1800.0,SAO-ScenarioApproxWithO,0.97288
494,2400.0,SAO-ScenarioApproxWithO,0.98069
495,3000.0,SAO-ScenarioApproxWithO,0.98659
496,3600.0,SAO-ScenarioApproxWithO,0.98706
497,4200.0,SAO-ScenarioApproxWithO,0.98861
